Wall time,Step,Value
1651564127.466615,45850,-1.6570311345276423e-07
1651564149.687547,46000,2.668936645022768e-07
1651564157.133413,46050,4.228484584700709e-08
1651564165.303765,46100,2.8708916133268758e-08
1651564170.83839,46150,-2.6810122122356006e-08
1651564183.321117,46250,-1.204641222329883e-07
1651564221.343757,46550,1.6794264467989706e-07
1651564228.665684,46600,1.0847480069742232e-07
1651564234.685808,46650,-2.4175156454475655e-07
1651564247.631313,46750,6.642507344167825e-08
1651564273.248435,46950,7.326069351165643e-08
1651564295.553122,47100,-1.4813220161613572e-07
1651564315.03481,47250,-7.183987182912688e-09
1651564341.381698,47450,5.6098490297529224e-09
1651564362.779421,47600,-4.890637583798707e-08
1651564368.644131,47650,-3.291685146677992e-08
1651564376.489556,47700,-0.0
1651564390.343683,47800,1.2839915086715337e-07
1651564396.474853,47850,1.0403719663543143e-08
1651564404.474926,47900,-1.6542486491744057e-07
1651564422.079631,48050,-1.1896145402090497e-08
1651564429.354944,48100,-3.7203278679953655e-08
1651564443.028977,48200,-1.726260450141126e-07
1651564456.295577,48300,6.611607972217826e-08
1651564461.871797,48350,1.644266092171165e-07
1651564475.032219,48450,-3.106993418100501e-08
1651564488.622314,48550,4.2190201554603846e-08
1651564496.932142,48600,5.44956755277326e-08
1651564508.948156,48700,4.2861767468593825e-08
1651564523.574291,48800,-1.6576517225530552e-07
1651564530.533666,48850,-3.288532113288056e-08
1651564537.71423,48900,-6.651266915014276e-08
1651564543.377039,48950,-1.7671307261935e-07
1651564564.646575,49100,1.0889412038750379e-07
1651564570.472849,49150,-1.8410700519666534e-08
1651564576.960155,49200,-3.762956524155925e-08
1651564597.012746,49350,1.269215346155761e-07
1651564604.754566,49400,-1.0919935178321794e-08
1651564658.452333,49800,6.780098260605882e-08
1651564680.039996,49950,-6.546282094177513e-08
1651564687.127866,50000,-1.032072134421469e-07
1651564700.648597,50100,2.8950827513085642e-08
1651564714.781845,50200,3.629588185560806e-09
1651564720.70892,50250,7.231653498251944e-09
1651564743.69329,50400,1.812998675632116e-07
1651564749.358303,50450,4.563944955293664e-08
1651564763.163998,50550,-3.71079487138104e-08
1651564769.270013,50600,3.592212038938669e-08
1651564775.402542,50650,1.8968107440286985e-07
1651564783.290641,50700,-7.87594558460114e-08
1651564804.355369,50850,1.3812535826218664e-07
1651564860.288307,51250,-3.059099640267959e-08
1651564866.679627,51300,-1.4014143800977763e-07
1651564871.811596,51350,1.5999141567135666e-07
1651564886.062326,51450,4.617417559416026e-08
1651564899.976202,51550,9.258973676651294e-08
1651564909.155629,51600,4.6079172477675456e-08
1651564914.84915,51650,-2.341695335417171e-07
1651564929.687863,51750,1.4621923227764455e-08
1651564944.709979,51850,-8.900960324353946e-08
1651564952.4623,51900,1.410102044019368e-07
1651564958.225911,51950,2.8049245770489506e-07
1651564979.711984,52100,4.217253390947917e-08
1651564986.149314,52150,7.272386426393496e-08
1651564994.32309,52200,2.0667322075951233e-07
1651565029.459112,52450,1.5273690223693848e-07
1651565042.327458,52550,-1.405045058078258e-08
1651565049.486863,52600,-1.6028140237267507e-07
1651565068.582435,52750,1.1231932717237214e-07
1651565082.07995,52850,1.9562550690466196e-08
1651565121.834371,53150,4.5792294400825995e-08
1651565129.172936,53200,3.294844219681181e-08
1651565143.776261,53300,-1.3176847168949735e-08
1651565156.729957,53400,-1.7770329208133262e-08
1651565182.678692,53600,-3.50776758750726e-08
1651565194.415049,53700,-7.507399146788885e-08
1651565207.899787,53800,2.321112049230578e-07
1651565220.670982,53900,2.2882278472025064e-07
1651565233.323478,54000,-4.0779077892239e-08
1651565249.510445,54100,5.6450677021757656e-08
1651565255.441375,54150,-1.4559913275036251e-08
1651565263.356017,54200,4.050354363016595e-08
1651565269.192841,54250,-3.346225696532201e-08
1651565276.33583,54300,-3.679772220266386e-08
1651565305.428489,54500,-5.2592334043310984e-08
1651565321.248536,54600,-1.1596039684036441e-07
1651565326.901538,54650,-2.6918226581074123e-07
1651565370.684976,54950,-1.3578807056546793e-07
1651565382.362016,55050,9.345583151798564e-08
1651565394.91975,55150,-2.7223530096875947e-08
1651565402.545684,55200,1.1304953773105808e-07
1651565409.421305,55250,-6.174869326969201e-08
1651565450.710435,55550,-1.448095510170333e-08
1651565473.044647,55700,-3.202264053925319e-08
1651565486.220732,55800,1.3494441475359054e-07
1651565504.648725,55950,-2.1693942642286856e-07
1651565525.701514,56100,2.2862055359951228e-08
1651565532.392654,56150,6.454648371345684e-09
1651565545.633752,56250,6.769295879394122e-08
1651565552.109118,56300,-9.180980420353535e-09
1651565557.751795,56350,-1.3405061061178003e-08
1651565565.391444,56400,-8.292820297128856e-08
1651565577.348514,56500,2.0513679999112355e-07
1651565583.082369,56550,4.984688217746225e-08
1651565596.039585,56650,-5.341466291497454e-08
1651565603.441178,56700,-1.4571419626463467e-08
1651565609.672059,56750,-6.667823981842957e-08
1651565631.042658,56900,-1.6284726456206045e-08
1651565638.498172,56950,2.3129535975385807e-07
1651565652.449506,57050,1.0948527062737412e-07
1651565706.222562,57450,1.606864863390456e-08
1651565714.975167,57500,1.096362680641505e-07
1651565722.735387,57550,2.4618280747290555e-08
1651565730.887381,57600,3.667978276666872e-08
1651565750.746152,57750,2.3691278272508498e-07
1651565757.510795,57800,4.7923332857635614e-08
1651565763.488698,57850,2.1466806998660104e-08
1651565786.749424,58000,-5.122691160153181e-09
1651565792.164473,58050,-8.107751625630044e-08
1651565800.295329,58100,-2.3757010580993665e-08
1651565818.289364,58250,-1.3135715448697738e-07
1651565901.748556,58850,5.7149023291458434e-08
1651565922.888002,59000,9.473586359831643e-09
1651565937.570837,59100,1.6440036176845751e-07
1651565945.060769,59150,1.367275075381258e-07
